time_s,gt_x,gt_y,gt_yaw,est_x,est_y,est_yaw,pos_err_m,ang_err_deg
0.500000,-1.999988,-0.500000,0.000000,-1.999997,-0.500000,0.000000,0.000008,0.000001
8.700000,-1.876062,-0.288059,1.038563,-1.880512,-0.295396,1.042051,0.008581,0.199847
9.800000,-1.749333,-0.058754,1.119358,-1.753120,-0.064426,1.116205,0.006820,0.180635
11.000000,-1.664164,0.188914,1.384571,-1.666315,0.173594,1.383497,0.015471,0.061532
12.200000,-1.646889,0.448164,1.546770,-1.659688,0.436358,1.551397,0.017412,0.265061
13.500000,-1.623655,0.717385,1.423096,-1.638780,0.699609,1.437466,0.023340,0.823317
14.600000,-1.570275,0.971962,1.304921,-1.587967,0.958736,1.314000,0.022089,0.520224
15.800000,-1.479396,1.219957,1.106809,-1.499772,1.207474,1.118187,0.023895,0.651914
17.100000,-1.327265,1.441575,0.796427,-1.364290,1.417360,0.830978,0.044240,1.979650
18.200000,-1.108261,1.579358,0.324663,-1.146798,1.564088,0.350220,0.041452,1.464321
19.400000,-0.850320,1.617475,0.034515,-0.876900,1.617582,0.042358,0.026580,0.449364
20.700000,-0.580803,1.629713,0.089140,-0.613367,1.630964,0.091847,0.032588,0.155115
21.900000,-0.321087,1.668302,0.191722,-0.362757,1.670820,0.205807,0.041746,0.807021
23.000000,-0.064532,1.718183,0.191978,-0.094293,1.724595,0.198959,0.030444,0.399940
24.200000,0.194263,1.762254,0.117419,0.155397,1.781271,0.133382,0.043268,0.914589
25.500000,0.461481,1.775956,-0.040519,0.409274,1.789564,-0.016192,0.053951,1.393797
26.600000,0.721709,1.733900,-0.280291,0.680812,1.753500,-0.263422,0.045351,0.966521
27.800000,0.962523,1.635331,-0.468395,0.926535,1.657165,-0.452942,0.042093,0.885373
29.100000,1.188297,1.487398,-0.746976,1.149896,1.517538,-0.719523,0.048816,1.572971
30.200000,1.349579,1.282693,-1.032086,1.308235,1.324309,-1.001654,0.058663,1.743649
31.400000,1.459174,1.044977,-1.216380,1.425521,1.097855,-1.189946,0.062678,1.514564
32.700000,1.537190,0.786960,-1.330046,1.508639,0.837228,-1.311469,0.057810,1.064336
33.900000,1.600000,0.531900,-1.329300,1.586331,0.582054,-1.308360,0.051982,1.199765
35.000000,1.662435,0.277863,-1.338492,1.644958,0.337116,-1.308057,0.061776,1.743804
36.200000,1.702319,0.019171,-1.525804,1.693569,0.077657,-1.487308,0.059137,2.205627
37.500000,1.695930,-0.251433,-1.611473,1.696903,-0.186398,-1.580073,0.065042,1.799070
38.600000,1.685360,-0.510598,-1.611464,1.694322,-0.450385,-1.583544,0.060876,1.599687
39.800000,1.674676,-0.773061,-1.611462,1.690952,-0.714364,-1.583542,0.060911,1.599699
41.100000,1.660653,-1.041396,-1.678335,1.685060,-0.978376,-1.641647,0.067582,2.102080
42.300000,1.590033,-1.293890,-2.022113,1.624124,-1.234509,-1.983095,0.068471,2.235574
43.400000,1.436308,-1.504937,-2.379077,1.487296,-1.453051,-2.339567,0.072745,2.263719
44.600000,1.219328,-1.648603,-2.734831,1.273376,-1.606508,-2.699521,0.068508,2.023096
45.900000,0.956933,-1.708565,-3.083114,1.019176,-1.675068,-3.043089,0.070685,2.293230
47.000000,0.694647,-1.708155,-3.138083,0.755258,-1.683391,-3.113501,0.065475,1.408431
48.200000,0.434547,-1.716348,-3.133635,0.491758,-1.698923,-3.104166,0.059806,1.688471
49.500000,0.166391,-1.697949,2.988163,0.227960,-1.689261,3.021608,0.062178,1.916277
50.700000,-0.094197,-1.663119,3.059880,-0.024440,-1.662143,3.091475,0.069764,1.810311
51.800000,-0.356011,-1.645115,3.073927,-0.278254,-1.653228,3.112317,0.078179,2.199575
53.100000,-0.624017,-1.626959,3.073922,-0.552145,-1.645618,3.115802,0.074255,2.399556
54.300000,-0.885876,-1.609212,3.073921,-0.816046,-1.638476,3.105331,0.075714,1.799659
55.500000,-1.155637,-1.590927,3.073922,-1.148259,-1.589298,3.081721,0.007555,0.446829
56.600000,-1.404752,-1.558477,2.889902,-1.410416,-1.568462,2.901070,0.011480,0.639874
57.900000,-1.649317,-1.444620,2.521070,-1.650782,-1.461085,2.541168,0.016530,1.151523
59.000000,-1.830962,-1.258272,2.165301,-1.837999,-1.275963,2.184690,0.019040,1.110869
60.200000,-1.936786,-1.018393,1.806838,-1.948734,-1.037118,1.824726,0.022212,1.024911
61.500000,-1.950892,-0.750073,1.439375,-1.968354,-0.774565,1.468252,0.030079,1.654555
