time_s,gt_x,gt_y,gt_yaw,est_x,est_y,est_yaw,pos_err_m,ang_err_deg
0.200000,-1.999996,-0.500000,0.000000,-1.999997,-0.500000,0.000000,0.000001,0.000000
8.800000,-1.937454,-0.281391,1.451366,-1.907714,-0.313532,1.449567,0.043789,0.103079
10.600000,-1.911267,-0.026981,1.468998,-1.881477,-0.049030,1.465508,0.037063,0.199959
12.000000,-1.884288,0.236964,1.468882,-1.853684,0.203803,1.465392,0.045125,0.199959
13.300000,-1.856935,0.504407,1.468884,-1.825930,0.466118,1.468884,0.049267,0.000022
14.500000,-1.827233,0.763920,1.415526,-1.806174,0.718724,1.421315,0.049861,0.331684
15.600000,-1.759305,1.018167,1.190840,-1.739986,0.984111,1.191348,0.039154,0.029131
16.900000,-1.628859,1.253177,0.912860,-1.632855,1.215231,0.932569,0.038156,1.129202
18.100000,-1.436403,1.427362,0.557968,-1.440753,1.395242,0.569256,0.032413,0.646737
19.200000,-1.195018,1.528946,0.267516,-1.208706,1.509675,0.281589,0.023637,0.806285
20.500000,-0.928806,1.577799,0.122472,-0.959677,1.571000,0.128237,0.031611,0.330312
21.700000,-0.670506,1.609680,0.122899,-0.697778,1.604263,0.126389,0.027804,0.199948
22.800000,-0.410899,1.641742,0.122900,-0.435883,1.627536,0.140350,0.028741,0.999814
24.000000,-0.148977,1.664825,0.060013,-0.173337,1.655546,0.073952,0.026068,0.798631
25.300000,0.118940,1.680918,0.060013,0.089941,1.685053,0.073973,0.029292,0.799841
26.500000,0.383124,1.696787,0.060015,0.343219,1.704559,0.077465,0.040654,0.999812
27.700000,0.643794,1.712449,0.060014,0.606647,1.715006,0.080954,0.037234,1.199774
28.900000,0.911840,1.712728,-0.137245,0.870244,1.732380,-0.103080,0.046004,1.957517
30.100000,1.159471,1.632059,-0.493253,1.122851,1.669029,-0.462716,0.052036,1.749671
31.300000,1.364319,1.469117,-0.850965,1.343779,1.521128,-0.826418,0.055919,1.406455
32.400000,1.514046,1.253095,-1.046407,1.498785,1.317245,-1.023686,0.065940,1.301801
33.700000,1.642760,1.018961,-1.125710,1.631240,1.098759,-1.095379,0.080625,1.737845
34.900000,1.726934,0.769390,-1.365481,1.733167,0.851473,-1.335052,0.082319,1.743467
36.000000,1.752109,0.510421,-1.546953,1.776055,0.579622,-1.525941,0.073226,1.203937
37.300000,1.775839,0.241130,-1.388056,1.793573,0.317721,-1.368405,0.078618,1.125888
38.500000,1.815961,-0.015575,-1.508348,1.841441,0.068094,-1.471736,0.087463,2.097698
39.700000,1.810900,-0.278502,-1.652663,1.855425,-0.195946,-1.629623,0.093797,1.320091
40.900000,1.786618,-0.546224,-1.643986,1.836992,-0.459295,-1.623153,0.100470,1.193689
42.100000,1.775254,-0.807953,-1.628626,1.831778,-0.723181,-1.600757,0.101889,1.596780
43.300000,1.725612,-1.065179,-1.929222,1.800121,-0.983388,-1.896697,0.110641,1.863497
44.400000,1.598596,-1.293059,-2.202576,1.688547,-1.217406,-2.172733,0.117536,1.709919
45.700000,1.426349,-1.499565,-2.327115,1.525649,-1.425254,-2.299086,0.124026,1.605938
46.900000,1.234964,-1.679592,-2.446489,1.338392,-1.621447,-2.419059,0.118652,1.571604
48.000000,1.018414,-1.823667,-2.672415,1.132986,-1.783767,-2.648876,0.121321,1.348714
49.300000,0.764944,-1.915264,-2.917578,0.887295,-1.889887,-2.888839,0.124955,1.646613
50.500000,0.504395,-1.946756,-3.095587,0.636162,-1.928462,-3.064473,0.133032,1.782695
51.600000,0.243441,-1.955117,-3.078285,0.362679,-1.944264,-3.054851,0.119731,1.342671
52.800000,-0.019563,-1.972337,-3.081962,0.109741,-1.967949,-3.056764,0.129378,1.443768
54.100000,-0.288905,-1.971818,3.078328,-0.144240,-1.984653,3.110348,0.145233,1.834605
55.300000,-0.548596,-1.948473,3.053484,-0.407799,-1.978620,3.083597,0.143989,1.725323
56.400000,-0.810677,-1.939015,3.118762,-0.671570,-1.967025,-3.130461,0.141899,1.945854
57.700000,-1.076002,-1.896316,2.810647,-0.933207,-1.945453,2.854950,0.151013,2.538330
58.900000,-1.303301,-1.769617,2.454889,-1.168361,-1.847092,2.501977,0.155600,2.697941
60.100000,-1.489767,-1.572960,2.252056,-1.446709,-1.595546,2.258711,0.048622,0.381336
61.300000,-1.641827,-1.360838,2.133479,-1.601724,-1.392032,2.145829,0.050807,0.707603
62.500000,-1.768597,-1.131212,2.031373,-1.742078,-1.162143,2.035370,0.040743,0.229005
63.700000,-1.878197,-0.895313,1.934593,-1.854802,-0.923334,1.942903,0.036503,0.476118
