time_s,gt_x,gt_y,gt_yaw,est_x,est_y,est_yaw,pos_err_m,ang_err_deg
14.900000,-1.949184,-0.277042,1.414967,-1.919679,-0.310194,1.418458,0.044380,0.199969
17.400000,-1.871755,0.217037,1.415392,-1.853823,0.175132,1.422372,0.045581,0.399924
18.700000,-1.830041,0.483290,1.415393,-1.814684,0.426882,1.425863,0.058461,0.599885
19.900000,-1.789314,0.743239,1.415394,-1.776555,0.698114,1.425864,0.046894,0.599886
21.000000,-1.730782,0.997001,1.237097,-1.720627,0.956061,1.246474,0.042181,0.537259
22.300000,-1.612201,1.238780,0.992126,-1.627394,1.194106,1.013685,0.047187,1.235225
23.500000,-1.442540,1.440819,0.752167,-1.462126,1.399753,0.770235,0.045498,1.035218
24.700000,-1.232628,1.592722,0.473167,-1.260906,1.568004,0.491896,0.037558,1.073114
25.900000,-0.974642,1.670327,0.131731,-1.010503,1.659417,0.150514,0.037484,1.076182
27.100000,-0.711904,1.689021,0.035370,-0.747394,1.691868,0.038588,0.035604,0.184347
28.300000,-0.452024,1.698151,0.035219,-0.483591,1.702057,0.045689,0.031808,0.599879
29.400000,-0.191046,1.707343,0.035221,-0.229866,1.714111,0.049181,0.039406,0.799850
30.700000,0.080046,1.716896,0.035219,0.033815,1.727090,0.049179,0.047342,0.799851
31.900000,0.341684,1.726113,0.035219,0.287496,1.740067,0.059649,0.055956,1.399735
33.100000,0.602003,1.735283,0.035219,0.561026,1.755804,0.052669,0.045827,0.999812
34.300000,0.871781,1.735461,-0.079666,0.825034,1.761428,-0.053249,0.053475,1.513541
35.500000,1.123506,1.672134,-0.419756,1.082003,1.714181,-0.396434,0.059081,1.336233
36.700000,1.349067,1.536542,-0.666824,1.320951,1.593507,-0.643406,0.063526,1.341757
37.900000,1.526370,1.334367,-1.034948,1.500233,1.410426,-0.999309,0.080425,2.041932
39.100000,1.624883,1.093711,-1.305754,1.617528,1.179513,-1.278415,0.086116,1.566448
40.300000,1.670360,0.835180,-1.450084,1.669653,0.920677,-1.426328,0.085500,1.361096
41.400000,1.701652,0.576364,-1.450394,1.707732,0.659438,-1.429454,0.083296,1.199769
42.700000,1.734121,0.307941,-1.450391,1.754916,0.398070,-1.429451,0.092496,1.199776
43.900000,1.762744,0.048311,-1.500464,1.789644,0.136302,-1.473405,0.092011,1.550382
45.100000,1.765540,-0.215083,-1.620146,1.799544,-0.117581,-1.589926,0.103262,1.731479
46.300000,1.739433,-0.483600,-1.684990,1.781773,-0.381045,-1.660534,0.110951,1.401239
47.500000,1.709983,-0.742381,-1.670171,1.758245,-0.643973,-1.649124,0.109605,1.205928
48.700000,1.699484,-1.003153,-1.551512,1.763367,-0.897544,-1.522202,0.123427,1.679345
49.900000,1.705303,-1.265573,-1.594331,1.767623,-1.171180,-1.565015,0.113110,1.679696
51.100000,1.667855,-1.531508,-1.861146,1.759639,-1.433457,-1.822577,0.134307,2.209814
52.300000,1.539154,-1.758690,-2.324756,1.649664,-1.666844,-2.281151,0.143695,2.498373
53.500000,1.322142,-1.900710,-2.799698,1.446176,-1.829300,-2.758395,0.143121,2.366514
54.700000,1.055497,-1.933829,3.103387,1.187048,-1.883007,-3.136364,0.141026,2.488559
55.900000,0.796011,-1.902107,2.993456,0.933694,-1.861117,3.031843,0.143655,2.199439
57.100000,0.537373,-1.865096,3.031656,0.661212,-1.833627,3.061256,0.127775,1.695909
58.300000,0.268445,-1.859179,-3.086643,0.397929,-1.835010,-3.056302,0.131720,1.738457
59.500000,0.005773,-1.864890,3.107742,0.144291,-1.859799,-3.133250,0.138611,2.417495
60.700000,-0.254790,-1.846661,3.063179,-0.119651,-1.851862,3.101566,0.135239,2.199410
61.800000,-0.513968,-1.814249,2.958695,-0.372763,-1.839579,3.005265,0.143459,2.668285
63.100000,-0.778718,-1.759678,2.974326,-0.623391,-1.807830,3.019085,0.162620,2.564557
64.300000,-1.037893,-1.713989,2.923608,-0.885401,-1.785120,2.976153,0.168267,3.010582
65.500000,-1.286663,-1.637713,2.714345,-1.131526,-1.731343,2.776316,0.181202,3.550713
66.700000,-1.513257,-1.477037,2.336821,-1.465974,-1.495540,2.358629,0.050774,1.249539
67.900000,-1.667734,-1.276494,2.143152,-1.638980,-1.298057,2.145040,0.035941,0.108182
69.100000,-1.796125,-1.048504,2.024058,-1.768888,-1.058149,2.021621,0.028894,0.139624
70.300000,-1.882802,-0.802111,1.790234,-1.866087,-0.819390,1.788134,0.024040,0.120304
