time_s,gt_x,gt_y,gt_yaw,est_x,est_y,est_yaw,pos_err_m,ang_err_deg
12.000000,-1.944628,-0.237097,1.435072,-1.916053,-0.277329,1.433861,0.049348,0.069413
13.200000,-1.918494,0.021304,1.477810,-1.889982,-0.014737,1.477811,0.045955,0.000047
14.400000,-1.889927,0.283597,1.416849,-1.871744,0.237813,1.423047,0.049263,0.355091
15.600000,-1.839668,0.539471,1.365610,-1.822027,0.497154,1.372593,0.045847,0.400097
16.800000,-1.784791,0.803100,1.365620,-1.770031,0.755983,1.372600,0.049375,0.399914
18.000000,-1.716619,1.056143,1.217299,-1.704066,1.011656,1.229753,0.046224,0.713571
19.200000,-1.597970,1.288592,0.979932,-1.606738,1.247953,0.996692,0.041574,0.960240
20.400000,-1.421781,1.492253,0.734961,-1.438003,1.460765,0.749741,0.035421,0.846783
21.600000,-1.206893,1.644179,0.495591,-1.234998,1.616063,0.516950,0.039754,1.223772
22.800000,-0.964031,1.740323,0.258017,-0.991492,1.728159,0.273286,0.030034,0.874873
24.000000,-0.701160,1.790328,0.138553,-0.742766,1.781034,0.151462,0.042631,0.739646
25.200000,-0.440116,1.826662,0.138368,-0.481820,1.821071,0.155818,0.042077,0.999796
26.400000,-0.181689,1.862643,0.138371,-0.221018,1.862033,0.152331,0.039333,0.799851
27.600000,0.077792,1.897771,0.108486,0.040108,1.901202,0.123768,0.037840,0.875579
28.800000,0.347492,1.910532,-0.014185,0.293635,1.928086,0.007364,0.056646,1.234715
30.000000,0.608218,1.891334,-0.132976,0.567340,1.914215,-0.119607,0.046847,0.766025
31.200000,0.864404,1.841477,-0.251565,0.817164,1.867060,-0.232615,0.053722,1.085738
32.400000,1.118368,1.750445,-0.461911,1.077517,1.793653,-0.436059,0.059462,1.481207
33.600000,1.338293,1.605908,-0.701294,1.301617,1.664432,-0.676044,0.069067,1.446721
34.800000,1.516110,1.415475,-0.938275,1.496202,1.485932,-0.916025,0.073215,1.274818
36.000000,1.644927,1.186992,-1.176856,1.630697,1.258962,-1.156006,0.073364,1.194605
37.200000,1.717904,0.929328,-1.390646,1.718135,1.006734,-1.369614,0.077406,1.205026
38.400000,1.750585,0.668632,-1.478245,1.766188,0.745436,-1.464245,0.078373,0.802114
39.600000,1.774653,0.409266,-1.478193,1.784249,0.492931,-1.457253,0.084214,1.199770
40.800000,1.799630,0.140263,-1.478191,1.814155,0.230630,-1.453761,0.091527,1.399738
42.000000,1.817257,-0.122104,-1.556253,1.848912,-0.032266,-1.528222,0.095252,1.606039
43.200000,1.805855,-0.382392,-1.661490,1.844492,-0.286285,-1.634122,0.103582,1.568065
44.400000,1.781319,-0.651215,-1.661784,1.827845,-0.559759,-1.637354,0.102609,1.399713
45.600000,1.756855,-0.912351,-1.685270,1.809829,-0.813178,-1.653363,0.112435,1.828128
46.800000,1.698153,-1.167083,-1.916096,1.779442,-1.072137,-1.882576,0.124991,1.920577
48.000000,1.581645,-1.400125,-2.153090,1.669086,-1.321771,-2.126060,0.117411,1.548678
49.200000,1.407203,-1.605286,-2.398073,1.504195,-1.537721,-2.369533,0.118205,1.635186
50.400000,1.195358,-1.758085,-2.635658,1.304519,-1.707846,-2.609518,0.120167,1.497714
51.600000,0.951590,-1.857259,-2.875046,1.072795,-1.813549,-2.842526,0.128846,1.863254
52.800000,0.686722,-1.896699,-3.092107,0.813285,-1.871139,-3.063955,0.129117,1.612980
54.000000,0.423592,-1.909920,-3.064159,0.550090,-1.890595,-3.039609,0.127966,1.406641
55.200000,0.163000,-1.924032,-3.134135,0.286884,-1.911763,-3.105489,0.124489,1.641267
56.400000,-0.098138,-1.925606,-3.135594,0.023032,-1.920735,-3.107674,0.121268,1.599696
57.600000,-0.367224,-1.926908,3.131076,-0.230626,-1.929483,-3.116836,0.136623,2.021032
58.800000,-0.627515,-1.903847,2.945672,-0.504434,-1.925601,2.978189,0.124988,1.863082
60.000000,-0.879740,-1.827408,2.800790,-0.749090,-1.866894,2.839291,0.136486,2.205908
61.300000,-1.139509,-1.726240,2.680522,-1.069349,-1.732232,2.695480,0.070415,0.857038
62.400000,-1.350749,-1.589224,2.451491,-1.292035,-1.600765,2.458953,0.059838,0.427554
63.600000,-1.531880,-1.399210,2.212696,-1.485378,-1.421057,2.218959,0.051378,0.358827
64.800000,-1.664983,-1.166871,1.969108,-1.618368,-1.203202,1.985950,0.059101,0.964992
66.000000,-1.737535,-0.914358,1.744000,-1.705259,-0.950834,1.751328,0.048706,0.419866
