time_s,pos_err_m,ang_err_deg
0.400000,0.000001,0.000000
227.600000,0.042036,0.199953
232.000000,0.045910,0.000002
241.400000,0.045110,1.104190
245.800000,0.031827,0.187811
250.200000,0.036732,0.083879
252.400000,0.041580,0.572677
254.600000,0.044354,0.319644
259.000000,0.050985,0.325713
263.400000,0.054045,0.057772
267.800000,0.064618,0.841092
270.000000,0.059411,1.085825
274.400000,0.065104,0.062483
278.800000,0.078749,0.634517
281.000000,0.062829,0.766629
283.200000,0.053956,0.659616
285.400000,0.042738,0.630617
289.800000,0.049583,0.760861
292.000000,0.041196,1.116454
294.200000,0.028151,0.669663
298.600000,0.035136,0.908091
300.800000,0.044707,1.304622
303.000000,0.039027,0.371831
