time_s,gt_x,gt_y,gt_yaw,est_x,est_y,est_yaw,pos_err_m,ang_err_deg
0.400000,-1.999996,-0.500000,0.000000,-1.999997,-0.500000,0.000000,0.000001,0.000000
10.200000,-1.796541,-0.358501,1.036763,-1.788889,-0.382415,1.019284,0.025108,1.001478
11.600000,-1.697825,-0.112555,1.315655,-1.677758,-0.149409,1.309845,0.041963,0.332902
12.800000,-1.657524,0.145037,1.486603,-1.636146,0.110613,1.481412,0.040522,0.297424
14.000000,-1.649011,0.408674,1.562761,-1.626422,0.364202,1.566219,0.049880,0.198108
15.200000,-1.640272,0.676768,1.485363,-1.629233,0.628163,1.499435,0.049843,0.806270
16.400000,-1.602258,0.936975,1.365857,-1.594675,0.889960,1.372448,0.047623,0.377586
17.600000,-1.534390,1.188079,1.247635,-1.527228,1.155270,1.252450,0.033581,0.275886
18.800000,-1.418720,1.432474,0.997252,-1.426578,1.394768,1.016148,0.038516,1.082637
20.000000,-1.240804,1.622678,0.640439,-1.260212,1.590222,0.663399,0.037817,1.315520
21.200000,-1.005616,1.739535,0.281346,-1.037142,1.722645,0.303406,0.035765,1.263924
22.400000,-0.747136,1.773237,0.029774,-0.776330,1.771591,0.045041,0.029239,0.874728
23.600000,-0.477360,1.771433,-0.014841,-0.522275,1.773688,0.002608,0.044971,0.999712
24.800000,-0.216129,1.770347,0.035648,-0.258631,1.776869,0.050268,0.042999,0.837671
26.000000,0.045238,1.784635,0.056573,-0.005136,1.795752,0.077513,0.051586,1.199793
27.200000,0.314788,1.799654,0.041398,0.268100,1.816074,0.063349,0.049491,1.257702
28.400000,0.575079,1.795089,-0.076800,0.532166,1.816987,-0.056650,0.048176,1.154507
29.600000,0.836684,1.759101,-0.196803,0.794227,1.796316,-0.176552,0.056459,1.160248
30.800000,1.096677,1.690403,-0.328455,1.051151,1.734329,-0.302159,0.063262,1.506649
32.000000,1.328652,1.571663,-0.644225,1.288996,1.641016,-0.608993,0.079890,2.018641
33.200000,1.506863,1.381324,-0.970650,1.475189,1.464798,-0.934349,0.089281,2.079914
34.400000,1.627892,1.149605,-1.208457,1.615470,1.235380,-1.181427,0.086670,1.548707
35.600000,1.691816,0.888682,-1.452850,1.695708,0.981076,-1.424910,0.092476,1.600859
36.800000,1.702224,0.625056,-1.550568,1.712443,0.727560,-1.529170,0.103012,1.226037
38.000000,1.723032,0.365346,-1.431342,1.739195,0.465306,-1.408912,0.101259,1.285125
39.200000,1.776755,0.101207,-1.310761,1.797176,0.208144,-1.285523,0.108869,1.445994
40.400000,1.834808,-0.152307,-1.434112,1.864134,-0.047264,-1.393465,0.109060,2.328869
41.600000,1.842156,-0.416142,-1.623066,1.891899,-0.300589,-1.588782,0.125804,1.964368
42.800000,1.818640,-0.676064,-1.670620,1.876663,-0.574214,-1.642701,0.117218,1.599646
44.000000,1.791787,-0.944002,-1.670604,1.857679,-0.827531,-1.635704,0.133818,1.999613
45.200000,1.746623,-1.201568,-1.876700,1.832591,-1.089117,-1.830008,0.141547,2.675280
46.400000,1.625524,-1.432142,-2.232802,1.730755,-1.327442,-2.193402,0.148444,2.257461
47.600000,1.424077,-1.610605,-2.600894,1.551463,-1.520414,-2.549904,0.156082,2.921482
48.800000,1.180589,-1.703053,-2.956986,1.310214,-1.635811,-2.909896,0.146028,2.698071
50.000000,0.918194,-1.707914,3.038514,1.057244,-1.662524,3.082931,0.146270,2.544908
51.200000,0.651492,-1.684275,3.105574,0.793743,-1.649728,3.139761,0.146386,1.958770
52.400000,0.387381,-1.677496,3.116625,0.529793,-1.652963,-3.124680,0.144510,2.399553
53.600000,0.127641,-1.671018,3.116619,0.265830,-1.657435,-3.131666,0.138855,1.999628
54.800000,-0.133637,-1.664493,3.116617,0.001843,-1.660057,-3.128178,0.135553,2.199585
56.000000,-0.403273,-1.657755,3.116618,-0.252133,-1.663596,-3.117708,0.151253,2.799471
57.200000,-0.664552,-1.651227,3.116618,-0.516058,-1.669900,-3.117707,0.149663,2.799472
58.400000,-0.928689,-1.644627,3.116618,-0.789983,-1.676204,-3.128177,0.142255,2.199585
59.600000,-1.206035,-1.635759,3.069857,-1.153004,-1.619216,3.078631,0.055551,0.502719
60.800000,-1.452680,-1.581709,2.758026,-1.410915,-1.585615,2.770998,0.041947,0.743294
62.000000,-1.664498,-1.431918,2.243819,-1.636999,-1.447712,2.255390,0.031712,0.662973
63.200000,-1.759247,-1.191206,1.647163,-1.744762,-1.225707,1.663683,0.037418,0.946560
64.400000,-1.717073,-0.928219,1.216936,-1.717508,-0.965499,1.233917,0.037283,0.972933
65.600000,-1.605280,-0.689226,1.106971,-1.618409,-0.725031,1.112008,0.038137,0.288585
