time_s,gt_x,gt_y,gt_yaw,est_x,est_y,est_yaw,pos_err_m,ang_err_deg
0.200000,-1.999996,-0.500000,0.000000,-1.999997,-0.500000,0.000000,0.000000,0.000000
8.100000,-1.939967,-0.250203,1.407101,-1.911384,-0.288657,1.403200,0.047913,0.223489
9.200000,-1.912732,0.010019,1.526168,-1.883040,-0.026568,1.523169,0.047120,0.171843
10.400000,-1.916515,0.270318,1.644623,-1.886276,0.237029,1.643123,0.044973,0.085908
11.700000,-1.929920,0.539244,1.508077,-1.900403,0.500657,1.526123,0.048582,1.033979
12.800000,-1.869447,0.792693,1.201191,-1.853301,0.757757,1.206507,0.038487,0.304626
14.000000,-1.760205,1.031183,1.077561,-1.754707,0.988471,1.087631,0.043065,0.576915
15.300000,-1.604909,1.251452,0.834017,-1.615537,1.206070,0.853284,0.046609,1.103939
16.400000,-1.407934,1.422659,0.596692,-1.419556,1.392690,0.609870,0.032143,0.755036
17.600000,-1.176018,1.542827,0.359168,-1.206986,1.516783,0.380617,0.040463,1.228928
18.800000,-0.922485,1.610803,0.192982,-0.943168,1.600254,0.201161,0.023218,0.468626
20.100000,-0.655258,1.646225,0.070525,-0.681946,1.647400,0.077814,0.026714,0.417633
21.300000,-0.392404,1.659723,0.018911,-0.428282,1.662269,0.029385,0.035968,0.600077
22.400000,-0.132136,1.662123,0.008709,-0.164073,1.666641,0.015689,0.032255,0.399922
23.700000,0.139078,1.655132,-0.042290,0.099929,1.661979,-0.031794,0.039743,0.601343
24.900000,0.399985,1.644090,-0.042275,0.353796,1.653579,-0.021335,0.047153,1.199769
26.000000,0.660468,1.632755,-0.058952,0.617757,1.647699,-0.039431,0.045250,1.118465
27.300000,0.927623,1.600185,-0.200374,0.880517,1.621334,-0.178268,0.051635,1.266607
28.500000,1.171155,1.504269,-0.554235,1.137873,1.541221,-0.532669,0.049730,1.235691
29.600000,1.372301,1.337658,-0.812606,1.343921,1.396497,-0.790158,0.065326,1.286201
30.800000,1.528846,1.126927,-1.051340,1.505840,1.198203,-1.030091,0.074896,1.217478
32.100000,1.632701,0.879651,-1.295284,1.623626,0.967402,-1.266545,0.088218,1.646597
33.200000,1.673613,0.620795,-1.527637,1.682037,0.698062,-1.509045,0.077726,1.065242
34.400000,1.676689,0.359176,-1.565090,1.689091,0.444095,-1.547639,0.085820,0.999870
35.700000,1.678203,0.091000,-1.565079,1.695187,0.180166,-1.551119,0.090769,0.799845
36.900000,1.679710,-0.172556,-1.565080,1.700382,-0.073783,-1.544140,0.100912,1.199777
38.000000,1.681209,-0.434792,-1.565081,1.707418,-0.337690,-1.547631,0.100577,0.999811
39.200000,1.677709,-0.695091,-1.632329,1.708723,-0.601749,-1.610192,0.098359,1.268344
40.500000,1.641414,-0.962789,-1.809166,1.689796,-0.864172,-1.776740,0.109846,1.857873
41.700000,1.549537,-1.208697,-2.047917,1.605371,-1.114121,-2.023668,0.109827,1.389352
42.800000,1.403834,-1.423899,-2.284267,1.472404,-1.345851,-2.263618,0.103891,1.183121
44.100000,1.204240,-1.604356,-2.529017,1.300835,-1.527249,-2.493099,0.123596,2.057985
45.300000,0.973236,-1.728594,-2.767573,1.073025,-1.670313,-2.733054,0.115562,1.977787
46.400000,0.721163,-1.794487,-3.004531,0.820121,-1.745427,-2.973012,0.110451,1.805907
47.700000,0.450413,-1.807895,-3.132196,0.556932,-1.776642,-3.111126,0.111009,1.207227
48.900000,0.190164,-1.810324,-3.132169,0.283052,-1.784633,-3.118209,0.096376,0.799835
50.000000,-0.071844,-1.812788,-3.132167,0.029124,-1.790801,-3.107736,0.103335,1.399738
51.200000,-0.334953,-1.815269,-3.132168,-0.234724,-1.799738,-3.111228,0.101425,1.199774
52.500000,-0.604881,-1.817812,-3.132168,-0.508603,-1.807752,-3.114718,0.096802,0.999811
53.600000,-0.864495,-1.820061,3.137982,-0.772529,-1.814711,-3.120833,0.092122,1.396311
54.800000,-1.124127,-1.782686,2.825674,-1.024181,-1.794286,2.867172,0.100616,2.377663
56.100000,-1.367494,-1.647846,2.445023,-1.311479,-1.657886,2.476578,0.056907,1.807945
57.200000,-1.529715,-1.457276,2.122389,-1.496509,-1.471202,2.133352,0.036008,0.628128
58.400000,-1.649309,-1.223552,1.982130,-1.618676,-1.246832,1.978219,0.038475,0.224111
59.600000,-1.740065,-0.976516,1.872269,-1.708684,-0.998585,1.869212,0.038364,0.175119
60.900000,-1.820089,-0.719633,1.872817,-1.796514,-0.746320,1.859626,0.035608,0.755772
