time_s,gt_x,gt_y,gt_yaw,est_x,est_y,est_yaw,pos_err_m,ang_err_deg
10.000000,-1.947197,-0.237654,1.403437,-1.918558,-0.285710,1.413902,0.055943,0.599630
11.200000,-1.914914,0.020609,1.504364,-1.887996,-0.014100,1.502065,0.043924,0.131733
12.400000,-1.897456,0.282754,1.463501,-1.870586,0.239364,1.473154,0.051036,0.553060
13.600000,-1.840787,0.545955,1.281702,-1.827881,0.498005,1.296265,0.049657,0.834410
14.800000,-1.761490,0.795035,1.260685,-1.750618,0.750490,1.267664,0.045852,0.399883
16.000000,-1.677737,1.044313,1.198648,-1.678576,0.991491,1.216822,0.052829,1.041299
17.200000,-1.550434,1.280619,0.954360,-1.558325,1.236311,0.977317,0.045005,1.315382
18.400000,-1.374936,1.474668,0.716433,-1.395696,1.445818,0.737391,0.035543,1.200808
19.600000,-1.153681,1.615537,0.392673,-1.186767,1.602279,0.415631,0.035644,1.315404
20.800000,-0.900704,1.675026,0.098216,-0.931430,1.667621,0.111280,0.031606,0.748526
22.000000,-0.630242,1.690280,0.048970,-0.668178,1.685436,0.055952,0.038244,0.400053
23.200000,-0.368755,1.703078,0.048981,-0.404370,1.700193,0.055961,0.035732,0.399922
24.400000,-0.108368,1.715844,0.048979,-0.141003,1.714948,0.059449,0.032648,0.599890
25.600000,0.161688,1.729081,0.048978,0.122750,1.730646,0.055958,0.038969,0.399923
26.800000,0.422617,1.733082,-0.008760,0.376708,1.747072,0.005151,0.047993,0.797043
28.000000,0.685067,1.730765,-0.008808,0.640705,1.738428,0.005152,0.045019,0.799844
29.200000,0.946125,1.717472,-0.140547,0.904583,1.739222,-0.116616,0.046891,1.371152
30.400000,1.204352,1.641662,-0.460190,1.159411,1.682233,-0.423458,0.060545,2.104611
31.600000,1.414026,1.486072,-0.817102,1.386219,1.542894,-0.790354,0.063261,1.532558
32.800000,1.556032,1.267226,-1.173711,1.545024,1.325716,-1.153752,0.059516,1.143572
34.000000,1.617486,1.005513,-1.476569,1.620812,1.080485,-1.450334,0.075045,1.503168
35.200000,1.626125,0.744228,-1.557890,1.634934,0.816792,-1.549679,0.073097,0.470459
36.400000,1.635192,0.483477,-1.568084,1.646824,0.553079,-1.548814,0.070567,1.104081
37.600000,1.630458,0.220800,-1.591107,1.646769,0.289257,-1.570167,0.070373,1.199767
38.800000,1.624984,-0.048424,-1.591104,1.656931,0.035037,-1.570164,0.089366,1.199769
40.000000,1.619661,-0.310390,-1.591103,1.647095,-0.228963,-1.570163,0.085924,1.199773
41.200000,1.614313,-0.573676,-1.591104,1.647261,-0.492963,-1.570164,0.087179,1.199774
42.400000,1.608884,-0.840921,-1.591103,1.647427,-0.756963,-1.570163,0.092382,1.199773
43.600000,1.583084,-1.101191,-1.820356,1.638499,-1.030057,-1.801186,0.090171,1.098350
44.800000,1.474537,-1.339127,-2.177887,1.553557,-1.271496,-2.150648,0.104010,1.560672
46.000000,1.284470,-1.527513,-2.543812,1.382264,-1.472397,-2.503594,0.112256,2.304332
47.200000,1.045800,-1.633916,-2.900971,1.156156,-1.598853,-2.860032,0.115792,2.345686
48.400000,0.786511,-1.670112,-3.049390,0.896148,-1.644516,-3.028375,0.112586,1.204118
49.600000,0.524356,-1.687342,-3.113730,0.633119,-1.667605,-3.089096,0.110539,1.411412
50.800000,0.256276,-1.704543,-3.049417,0.370326,-1.690561,-3.028383,0.114905,1.205187
52.000000,-0.005727,-1.728765,-3.049403,0.118014,-1.720363,-3.021483,0.124026,1.599707
53.200000,-0.265583,-1.752581,-3.063052,-0.144123,-1.761844,-3.029103,0.121812,1.945098
54.400000,-0.535542,-1.757354,3.097833,-0.407608,-1.785687,3.130553,0.131034,1.874695
55.600000,-0.792422,-1.717989,2.871704,-0.669844,-1.764875,2.919383,0.131239,2.731804
56.800000,-1.038400,-1.625641,2.717488,-0.921002,-1.683369,2.754687,0.130823,2.131343
58.000000,-1.274215,-1.496190,2.531155,-1.157348,-1.575787,2.578757,0.141399,2.727398
59.300000,-1.473851,-1.312785,2.236346,-1.420493,-1.348503,2.264824,0.064209,1.631641
60.400000,-1.602738,-1.095655,2.036488,-1.568704,-1.123760,2.030836,0.044138,0.323809
61.600000,-1.720346,-0.861485,2.023401,-1.685839,-0.887145,2.023351,0.043002,0.002874
