time_s,gt_x,gt_y,gt_yaw,est_x,est_y,est_yaw,pos_err_m,ang_err_deg
0.400000,-1.999996,-0.500000,0.000000,-1.999997,-0.500000,0.000000,0.000000,0.000000
8.000000,-1.932992,-0.268980,1.359353,-1.914530,-0.306069,1.349075,0.041430,0.588874
9.200000,-1.893551,-0.012326,1.477519,-1.862047,-0.045899,1.472530,0.046040,0.285863
10.400000,-1.872120,0.256733,1.492247,-1.840110,0.217156,1.495737,0.050902,0.199973
11.600000,-1.851496,0.518823,1.492244,-1.830318,0.470413,1.499224,0.052839,0.399921
12.800000,-1.828955,0.778607,1.448921,-1.809556,0.733654,1.458059,0.048959,0.523580
14.000000,-1.781695,1.036401,1.329848,-1.774210,0.983800,1.341617,0.053131,0.674350
15.200000,-1.694369,1.290985,1.107274,-1.702429,1.234712,1.138709,0.056847,1.801067
16.400000,-1.537394,1.500706,0.748954,-1.551311,1.470280,0.765230,0.033458,0.932540
17.600000,-1.318497,1.641427,0.393293,-1.342105,1.625684,0.409161,0.028376,0.909144
18.800000,-1.055040,1.697408,0.025174,-1.095520,1.685570,0.052490,0.042175,1.565091
20.000000,-0.793407,1.685865,-0.062649,-0.821748,1.678527,-0.059140,0.029275,0.201067
21.200000,-0.532781,1.669495,-0.062621,-0.567992,1.672884,-0.059131,0.035374,0.199957
22.400000,-0.270396,1.653044,-0.062437,-0.294453,1.657283,-0.062622,0.024427,0.010642
23.600000,-0.002386,1.651664,0.055703,-0.040832,1.655235,0.055594,0.038612,0.006229
24.800000,0.259162,1.667269,0.059738,0.222632,1.671826,0.066718,0.036813,0.399937
26.000000,0.519836,1.682865,0.059733,0.486044,1.689433,0.070203,0.034424,0.599888
27.200000,0.790501,1.693876,-0.014420,0.739738,1.703510,0.006544,0.051669,1.201133
28.400000,1.044657,1.641831,-0.426601,1.008444,1.667751,-0.402488,0.044533,1.381605
29.600000,1.264129,1.498359,-0.704556,1.222095,1.548013,-0.675326,0.065057,1.674741
30.800000,1.446220,1.300551,-0.949070,1.416809,1.369638,-0.915242,0.075087,1.938180
32.000000,1.571991,1.072126,-1.186203,1.561479,1.142775,-1.155175,0.071427,1.777773
33.200000,1.641063,0.818188,-1.415952,1.638463,0.900438,-1.388367,0.082291,1.580545
34.400000,1.671663,0.558784,-1.462999,1.676089,0.639068,-1.445549,0.080406,0.999786
35.600000,1.690914,0.291467,-1.513979,1.709897,0.376096,-1.493044,0.086732,1.199539
36.800000,1.705878,0.028332,-1.513974,1.720402,0.112893,-1.486054,0.085799,1.599696
38.000000,1.720694,-0.232167,-1.513974,1.742745,-0.140159,-1.482564,0.094613,1.799662
39.200000,1.732788,-0.500578,-1.567533,1.773305,-0.403420,-1.539101,0.105267,1.629061
40.400000,1.717925,-0.763567,-1.687200,1.765864,-0.667383,-1.659071,0.107468,1.611687
41.600000,1.662626,-1.018636,-1.900609,1.727590,-0.927002,-1.871581,0.112326,1.663212
42.800000,1.545815,-1.259576,-2.144150,1.629874,-1.167835,-2.101053,0.124428,2.469299
44.000000,1.378032,-1.461756,-2.383092,1.490187,-1.377844,-2.330523,0.140071,3.011966
45.200000,1.166974,-1.618593,-2.622237,1.286920,-1.556029,-2.577448,0.135283,2.566187
46.400000,0.925832,-1.720667,-2.860384,1.048714,-1.679435,-2.817394,0.129615,2.463128
47.600000,0.660967,-1.764509,-3.070770,0.790547,-1.733936,-3.031316,0.133138,2.260505
48.800000,0.400953,-1.780402,-3.081002,0.527746,-1.759352,-3.049592,0.128529,1.799645
50.000000,0.139716,-1.790219,3.128342,0.264555,-1.777860,-3.118242,0.125449,2.097138
51.200000,-0.130997,-1.781384,3.107004,0.010296,-1.788560,-3.141282,0.141475,1.999588
52.400000,-0.391101,-1.772375,3.107009,-0.243704,-1.788633,-3.137787,0.148291,2.199582
53.600000,-0.653624,-1.763290,3.107009,-0.517702,-1.789636,-3.141276,0.138452,1.999623
54.800000,-0.915194,-1.746984,3.025861,-0.771669,-1.792732,3.072730,0.150639,2.685387
56.000000,-1.179460,-1.693519,2.828727,-1.042657,-1.763425,2.878811,0.153628,2.869603
57.200000,-1.416157,-1.584629,2.591767,-1.277406,-1.674931,2.642336,0.165548,2.897391
58.400000,-1.629185,-1.414580,2.343811,-1.561369,-1.452953,2.371689,0.077920,1.597276
59.600000,-1.786928,-1.209419,2.108452,-1.727359,-1.258170,2.135421,0.076975,1.545193
60.800000,-1.893396,-0.970184,1.870291,-1.850940,-1.019805,1.895260,0.065305,1.430646
62.000000,-1.939693,-0.726929,1.675787,-1.913831,-0.771867,1.682324,0.051848,0.374553
