time_s,gt_x,gt_y,gt_yaw,est_x,est_y,est_yaw,pos_err_m,ang_err_deg
34.000000,-1.955211,-0.250095,1.455197,-1.925803,-0.285116,1.452898,0.045731,0.131715
35.200000,-1.940516,0.010917,1.574163,-1.910509,-0.021941,1.572864,0.044498,0.074457
36.400000,-1.941519,0.280899,1.537756,-1.911782,0.242316,1.545138,0.048713,0.422963
37.600000,-1.917090,0.543393,1.417976,-1.889261,0.505201,1.425264,0.047256,0.417605
38.900000,-1.859965,0.806385,1.295719,-1.844987,0.765204,1.304607,0.043820,0.509226
40.000000,-1.773740,1.054352,1.176460,-1.760055,1.016171,1.184248,0.040560,0.446256
41.200000,-1.660787,1.286463,1.059199,-1.645824,1.254742,1.064089,0.035073,0.280151
42.500000,-1.511208,1.512224,0.865288,-1.511467,1.476601,0.881810,0.035624,0.946653
43.600000,-1.304858,1.671054,0.422200,-1.314953,1.650858,0.439578,0.022578,0.995641
44.800000,-1.049745,1.719735,-0.024191,-1.058072,1.713791,-0.012977,0.010232,0.642474
46.100000,-0.782758,1.665718,-0.325599,-0.798298,1.675088,-0.317729,0.018146,0.450911
47.200000,-0.536497,1.594655,-0.196847,-0.545224,1.592172,-0.193631,0.009074,0.184270
48.400000,-0.274604,1.574546,0.054646,-0.282826,1.562871,0.056333,0.014279,0.096637
49.700000,-0.009509,1.619991,0.197091,-0.032521,1.608668,0.214570,0.025646,1.001481
50.800000,0.249029,1.655753,0.070678,0.219060,1.659400,0.099202,0.030190,1.634303
52.100000,0.517958,1.641778,-0.174581,0.482825,1.653922,-0.147934,0.037172,1.526773
53.300000,0.770307,1.565573,-0.398603,0.747688,1.594093,-0.380346,0.036401,1.046038
54.500000,1.012077,1.460584,-0.410183,0.981365,1.492441,-0.392734,0.044251,0.999774
55.600000,1.249532,1.357313,-0.410175,1.225260,1.391392,-0.389235,0.041839,1.199772
56.900000,1.480968,1.220198,-0.736714,1.456967,1.282952,-0.694040,0.067188,2.445005
58.100000,1.623243,1.004329,-1.270810,1.629562,1.071301,-1.240397,0.067270,1.742527
59.300000,1.626949,0.737310,-1.772569,1.661620,0.809138,-1.746180,0.079758,1.511958
60.500000,1.579742,0.481620,-1.698517,1.617797,0.549243,-1.687658,0.077596,0.622166
61.700000,1.561818,0.214216,-1.576490,1.602762,0.295398,-1.560351,0.090923,0.924716
62.900000,1.566992,-0.049673,-1.547752,1.613175,0.030576,-1.526812,0.092589,1.199790
64.100000,1.573108,-0.314482,-1.547761,1.624844,-0.224267,-1.523331,0.103997,1.399745
65.300000,1.579098,-0.574454,-1.547762,1.637371,-0.487970,-1.519842,0.104284,1.599697
66.500000,1.585368,-0.846742,-1.547761,1.650848,-0.752287,-1.523331,0.114932,1.399734
67.700000,1.581927,-1.103035,-1.699311,1.654804,-1.016285,-1.671202,0.113299,1.610523
68.900000,1.500296,-1.357196,-2.064471,1.602035,-1.269285,-2.024251,0.134459,2.304478
70.100000,1.334935,-1.564003,-2.426574,1.455606,-1.482118,-2.381964,0.145831,2.555954
71.300000,1.111376,-1.697202,-2.782376,1.245368,-1.636358,-2.738475,0.147160,2.515306
72.500000,0.854197,-1.748761,-3.062359,0.988426,-1.718931,-3.035838,0.137503,1.519563
73.700000,0.586214,-1.753647,3.098943,0.724848,-1.730961,3.130763,0.140478,1.823146
74.900000,0.326039,-1.742777,-3.102136,0.459829,-1.726998,-3.077830,0.134718,1.392647
76.100000,0.058700,-1.783750,-2.921246,0.210243,-1.773024,-2.890112,0.151922,1.783837
77.300000,-0.199710,-1.828716,-3.028425,-0.048355,-1.827475,-2.989524,0.151360,2.228863
78.500000,-0.463843,-1.842787,3.134544,-0.311521,-1.861802,-3.113131,0.153505,2.034595
79.700000,-0.729413,-1.821590,2.959188,-0.576620,-1.860672,3.003281,0.157712,2.526332
80.900000,-0.980072,-1.743601,2.720372,-0.831701,-1.793318,2.763271,0.156480,2.457966
82.200000,-1.218966,-1.601900,2.522928,-1.163115,-1.620190,2.530964,0.058769,0.460435
83.300000,-1.415549,-1.444261,2.408436,-1.370492,-1.465637,2.410660,0.049871,0.127413
84.500000,-1.606348,-1.264292,2.382603,-1.562337,-1.274206,2.376737,0.045113,0.336101
85.700000,-1.792699,-1.082817,2.320228,-1.760508,-1.089247,2.314888,0.032827,0.305916
86.900000,-1.929401,-0.858692,1.882542,-1.906904,-0.874655,1.888166,0.027585,0.322220
