time_s,gt_x,gt_y,gt_yaw,est_x,est_y,est_yaw,pos_err_m,ang_err_deg
0.200000,-1.999996,-0.500000,0.000000,-1.999997,-0.500000,0.000000,0.000001,0.000000
7.900000,-1.928735,-0.280699,1.380902,-1.909260,-0.313453,1.386505,0.038106,0.321014
11.500000,-1.745106,0.172228,1.118959,-1.739481,0.137111,1.115889,0.035564,0.175889
13.800000,-1.630565,0.629316,1.544896,-1.612220,0.586748,1.544500,0.046353,0.022687
16.300000,-1.574029,1.127959,1.250166,-1.567231,1.083583,1.254331,0.044893,0.238642
17.400000,-1.443971,1.341011,0.786741,-1.446804,1.309143,0.788451,0.031993,0.097996
18.700000,-1.220535,1.492373,0.456973,-1.249122,1.457669,0.468866,0.044962,0.681383
19.900000,-0.973277,1.579248,0.218660,-1.001196,1.557875,0.225458,0.035161,0.389503
21.100000,-0.713229,1.609376,0.041371,-0.739121,1.599431,0.043764,0.027736,0.137110
22.200000,-0.452505,1.604789,-0.071380,-0.475092,1.605213,-0.070859,0.022591,0.029863
23.500000,-0.183191,1.598164,0.023581,-0.211502,1.588261,0.024513,0.029993,0.053391
24.700000,0.078275,1.607973,0.080738,0.052185,1.597823,0.078308,0.027995,0.139196
25.800000,0.339782,1.630227,0.085039,0.305224,1.620174,0.095509,0.035990,0.599889
27.100000,0.607870,1.653083,0.085036,0.568021,1.645353,0.095506,0.040591,0.599889
28.300000,0.870355,1.669114,-0.007870,0.831371,1.664937,0.005794,0.039207,0.782881
29.400000,1.125319,1.624027,-0.351751,1.101249,1.632834,-0.346952,0.025631,0.274975
30.700000,1.358260,1.485387,-0.722459,1.328842,1.510509,-0.699884,0.038684,1.293429
31.900000,1.519056,1.283271,-1.075468,1.506758,1.317462,-1.056600,0.036335,1.081034
33.100000,1.600706,1.033442,-1.434780,1.603175,1.078785,-1.416511,0.045410,1.046691
34.200000,1.597763,0.771874,-1.653756,1.614094,0.815043,-1.646928,0.046155,0.391226
35.500000,1.575508,0.502651,-1.644039,1.594117,0.541811,-1.640761,0.043357,0.187866
36.700000,1.566721,0.241783,-1.594122,1.576597,0.288057,-1.583653,0.047316,0.599829
37.800000,1.571875,-0.018322,-1.493086,1.584101,0.034486,-1.477136,0.054204,0.913869
39.100000,1.597478,-0.288157,-1.508977,1.623871,-0.227830,-1.490399,0.065848,1.064414
40.300000,1.598142,-0.549586,-1.627795,1.629309,-0.481842,-1.603355,0.074570,1.400285
41.500000,1.571576,-0.809879,-1.687621,1.608443,-0.755080,-1.673664,0.066047,0.799699
42.600000,1.540963,-1.070334,-1.692144,1.581303,-1.027687,-1.680603,0.058703,0.661238
43.900000,1.478277,-1.332543,-1.977022,1.534550,-1.275243,-1.945766,0.080311,1.790843
45.100000,1.322163,-1.540702,-2.453457,1.403329,-1.489620,-2.419075,0.095902,1.969982
46.200000,1.092049,-1.659448,-2.828765,1.183184,-1.626928,-2.798135,0.096764,1.754930
47.500000,0.827902,-1.715954,-2.972611,0.926870,-1.700028,-2.953698,0.100242,1.083619
48.700000,0.571693,-1.769422,-2.952442,0.669654,-1.759098,-2.928414,0.098504,1.376705
49.800000,0.313165,-1.808400,-3.017276,0.409468,-1.804320,-2.994377,0.096389,1.312015
51.100000,0.043266,-1.825507,-3.139861,0.156635,-1.837440,-3.113921,0.113996,1.486281
52.300000,-0.217951,-1.810434,3.024415,-0.107516,-1.818903,3.052646,0.110760,1.617473
53.500000,-0.477060,-1.774259,3.000380,-0.370083,-1.798980,3.028300,0.109796,1.599706
54.700000,-0.737559,-1.737215,3.000387,-0.632170,-1.769147,3.031797,0.110120,1.799657
55.900000,-1.003070,-1.699470,3.000388,-0.894580,-1.750217,3.028308,0.119771,1.599700
57.100000,-1.259726,-1.652117,2.889133,-1.155616,-1.710349,2.926895,0.119289,2.163626
58.200000,-1.503437,-1.554919,2.606700,-1.394026,-1.631848,2.648161,0.133750,2.375524
59.500000,-1.712497,-1.369367,2.224150,-1.669061,-1.398633,2.250733,0.052376,1.523080
60.700000,-1.833775,-1.151311,1.957809,-1.810249,-1.170177,1.961886,0.030156,0.233573
61.800000,-1.915475,-0.902495,1.827976,-1.892850,-0.929112,1.827655,0.034933,0.018353
