time_s,gt_x,gt_y,gt_yaw,est_x,est_y,est_yaw,pos_err_m,ang_err_deg
0.400000,-1.999996,-0.500000,0.000000,-1.999997,-0.500000,0.000000,0.000001,0.000000
7.900000,-1.906924,-0.288362,1.252894,-1.908336,-0.292247,1.251847,0.004133,0.059950
10.300000,-1.854360,0.183761,1.564222,-1.856036,0.177181,1.564262,0.006790,0.002306
12.600000,-1.806683,0.680150,1.361014,-1.819335,0.666084,1.366503,0.018919,0.314519
13.900000,-1.734390,0.940295,1.238348,-1.750374,0.920990,1.246537,0.025064,0.469188
15.100000,-1.634372,1.181615,1.103090,-1.651306,1.165794,1.117063,0.023175,0.800569
16.300000,-1.488785,1.400581,0.864281,-1.518357,1.377563,0.884240,0.037474,1.143558
17.400000,-1.297077,1.577666,0.626937,-1.328045,1.559943,0.641005,0.035682,0.806088
18.700000,-1.061958,1.707613,0.382596,-1.099087,1.691488,0.404354,0.040479,1.246653
19.900000,-0.807626,1.776079,0.143051,-0.845851,1.765430,0.160920,0.039681,1.023817
21.000000,-0.547820,1.786746,-0.023929,-0.582298,1.780269,-0.009846,0.035081,0.806893
22.300000,-0.278614,1.780483,-0.023174,-0.328530,1.777813,-0.009214,0.049988,0.799832
23.500000,-0.017324,1.774420,-0.023170,-0.064321,1.775483,-0.005720,0.047008,0.999812
24.600000,0.244186,1.768361,-0.023172,0.199675,1.773974,-0.005721,0.044863,0.999813
25.800000,0.507235,1.762263,-0.023171,0.453671,1.772797,0.004749,0.054590,1.599698
27.100000,0.774903,1.756058,-0.023171,0.717669,1.773826,-0.002231,0.059929,1.199773
28.300000,1.038416,1.749484,-0.043199,0.991695,1.772782,-0.022930,0.052208,1.161339
29.400000,1.295818,1.707902,-0.298341,1.243089,1.746882,-0.265198,0.065573,1.898940
30.700000,1.526044,1.570332,-0.771333,1.473494,1.621326,-0.731365,0.073225,2.290018
31.900000,1.682025,1.361857,-1.056851,1.639201,1.416287,-1.019695,0.069257,2.128895
33.100000,1.795285,1.124526,-1.214180,1.761074,1.182026,-1.181514,0.066908,1.871584
34.300000,1.857610,0.864572,-1.451793,1.831203,0.927713,-1.421508,0.068440,1.735167
35.500000,1.873193,0.601843,-1.571385,1.854394,0.664653,-1.539865,0.065564,1.805940
36.700000,1.857531,0.340880,-1.690170,1.846619,0.400705,-1.663341,0.060812,1.537229
37.800000,1.823455,0.079734,-1.701103,1.819040,0.138125,-1.673183,0.058558,1.599686
39.100000,1.788685,-0.185517,-1.701098,1.792270,-0.114514,-1.666198,0.071094,1.999620
40.300000,1.754582,-0.445752,-1.701097,1.767010,-0.377302,-1.669687,0.069569,1.799661
41.400000,1.720508,-0.705769,-1.701097,1.740834,-0.640001,-1.673177,0.068837,1.599698
42.700000,1.685518,-0.972766,-1.701097,1.713962,-0.902630,-1.669687,0.075685,1.799659
43.900000,1.629300,-1.228729,-1.937830,1.677712,-1.152427,-1.884895,0.090364,3.032976
45.100000,1.476919,-1.438018,-2.425580,1.534678,-1.371729,-2.380022,0.087922,2.610305
46.200000,1.261619,-1.584834,-2.633657,1.323028,-1.529315,-2.594352,0.082786,2.251991
47.500000,1.017279,-1.697970,-2.812709,1.088254,-1.650032,-2.771229,0.085647,2.376615
48.700000,0.761748,-1.760990,-2.963972,0.834531,-1.723187,-2.926173,0.082015,2.165739
49.800000,0.502142,-1.791836,-3.082779,0.583669,-1.764298,-3.039199,0.086052,2.496958
51.100000,0.231946,-1.795720,-3.141213,0.310035,-1.779344,-3.102836,0.079788,2.198881
52.300000,-0.029686,-1.793334,3.094728,0.046319,-1.787321,3.133120,0.076242,2.199693
53.500000,-0.290513,-1.765479,2.975492,-0.207378,-1.769469,3.019973,0.083231,2.548542
54.700000,-0.551562,-1.706749,2.890344,-0.457347,-1.733161,2.939111,0.097847,2.794132
55.900000,-0.805140,-1.641650,2.890351,-0.715956,-1.680082,2.939211,0.097112,2.799460
57.100000,-1.058719,-1.576558,2.890355,-0.984498,-1.616682,2.928745,0.084372,2.199584
58.200000,-1.311357,-1.506768,2.810062,-1.241647,-1.556546,2.854461,0.085658,2.543880
59.500000,-1.559175,-1.381632,2.506808,-1.571889,-1.368982,2.521618,0.017935,0.848553
60.700000,-1.734254,-1.198606,2.160476,-1.755547,-1.190305,2.168557,0.022854,0.463031
61.800000,-1.824407,-0.955390,1.688313,-1.848638,-0.945016,1.690286,0.026359,0.113054
63.100000,-1.807766,-0.700494,1.381422,-1.831559,-0.687622,1.372881,0.027051,0.489384
